Ostorhinchus rubrimacula	16
Apogon semiornatus	46
Ostorhinchus angustatus	60
Apogon semilineatus	158
Ostorhinchus wassinki	4
Ostorhinchus endekataenia	25
Cercamia eremia	17
Ostorhinchus holotaenia	19
Siphamia argentea	5
Pseudamiops gracilicauda	15
Cheilodipterus intermedius	16
Ostorhinchus ishigakiensis	10
Apogon quadrisquamatus	18
Taeniamia fucata	69
Fowleria sp.	15
Apogonichthyoides niger	29
Pseudamia hayashii	1
Siphamia majimai	8
Taeniamia zosterophora	11
Pristicon rhodopterus	11
Fibramia thermalis	13
Apogonichthyoides melas	25
Apogon sp.	85
Pristiapogon taeniopterus	20
Fowleria isostigma	21
Fowleria marmorata	48
Cercamia cladara	23
Pseudamiops sp.	15
Gymnapogon urospilotus	19
Cheilodipterus artus	82
Apogon lativittatus	17
Gymnapogon sp.	6
Ostorhinchus novemfasciatus	45
Apogonichthys ocellatus	20
Apogon crassiceps	44
Apogonidae sp.	177
Pristiapogon fraenatus	73
Ostorhinchus taeniophorus	59
Apogon indicus	6
Jaydia striatodes	53
Apogon coccineus	40
Apogon fugax	6
Apogon talboti	11
Zapogon isus	3
Apogon erythrosoma	11
Gymnapogon vanderbilti	9
Gymnapogon philippinus	2
Gymnapogon japonicus	2
Ostorhinchus nigrocincta	16
Ostorhinchus selas	6
Rhabdamia spilota	9
Siphamia tubifer	18
Foa fo	8
Fowleria variegata	90
Apogon imberbis	20
Apogonichthyoides umbratilis	11
Rhabdamia gracilis	69
Ostorhinchus gularis	52
Xeniamia atrithorax	1
Apogon erythrinus	18
Jaydia smithi	70
Siphamia senoui	1
Neamia articycla	6
Nectamia bandanensis	5
Ostorhinchus fukuii	10
Apogonichthyoides timorensis	24
Ostorhinchus chrysopomus	5
Apogon hyalosoma	22
Pterapogon cf.	2
Zoramia viridiventer	15
Cheilodipterus sp.	4
Ostorhinchus sealei	16
Pterapogon kauderni	41
Jaydia striata	32
Archamia bleekeri	38
Jaydia novaeguineae	25
Brephamia parvula	4
Ostorhinchus pleuron	35
Nectamia fusca	54
Ostorhinchus cheni	5
Apogon unicolor	58
Apogon seminigracaudus	5
Apogon notatus	5
Sphaeramia nematoptera	29
Jaydia carinatus	32
Zoramia gilberti	4
Pseudamia amblyuroptera	8
Ostorhinchus franssedai	1
Glossamia aprion	15
Zoramia fragilis	19
Zapogon evermanni	10
Vincentia novaehollandiae	5
Taeniamia sp.	19
Taeniamia buruensis	4
Taeniamia biguttata	9
Siphamia tubulata	15
Siphamia sp.	7
Siphamia roseigaster	12
Siphamia jebbi	4
Phaeoptyx pigmentaria	222
Phaeoptyx conklini	195
Paroncheilus affinis	14
Ostorhinchus neotes	3
Ostorhinchus luteus	4
Ostorhinchus hoevenii	9
Ostorhinchus flagelliferus	12
Ostorhinchus dispar	5
Lachneratus phasmaticus	4
Fowleria aurita	20
Foa leisi	3
Fibramia lateralis	50
Cheilodipterus isostigmus	9
Astrapogon puncticulatus	106
Apogonichthys perdix	16
Apogon townsendi	77
Apogon pseudomaculatus	19
Apogon planifrons	17
Apogon phenax	71
Apogon maculatus	133
Apogon dovii	14
Apogon campbelli	7
Apogon aurolineatus	41
Apogon atradorsatus	5
Pseudamia zonata	3
Pseudamia gelatinosa	14
Ostorhinchus sangiensis	1
Ostorhinchus quadrifasciatus	16
Ostorhinchus properuptus	33
Ostorhinchus guamensis	7
Apogon ellioti	5
Ostorhinchus ventrifasciatus	1
Aracana aurita	11
Kentrocapros flavofasciatus	3
Aracana ornata	11
Anoplocapros inermis	13
Argentina sialis	18
Glossanodon semifasciatus	25
Glossanodon kotakamaru	1
Argentina australiae	7
Argentina silus	40
Argentina kagoshimae	14
Glossanodon microcephalus	1
Arctoraja smirnovi	104
Bathyraja interrupta	69
Bathyraja kincaidii	8
Bathyraja diplotaenia	5
Bathyraja abyssicola	15
Bathyraja trachura	33
Bathyraja spinicauda	134
Bathyraja trachouros	10
Bathyraja minispinosa	9
Bathyraja isotrachys	5
Bathyraja bergi	7
Bathyraja violacea	21
Rhinoraja longicauda	5
Rhinoraja kujiensis	3
Bathyraja matsubarai	10
Bathyraja sp.	19
Notoraja sp.	4
Arius maculatus	105
Neoarius graeffei	56
Sciades mastersi	5
Bagre marinus	48
Ariopsis felis	37
Arius sp.	9
Arius manillensis	61
Netuma bilineata	28
Genidens genidens	16
Arius arius	106
Nemapteryx armiger	2
Nedystoma novaeguineae	2
Cochlefelis spatula	2
Cinetodus froggatti	2
Amissidens hainesi	2
Osteogeneiosus militaris	58
Plicofollis argyropleuron	44
Carlarius heudelotii	2
Galeichthys sp.	2
Galeichthys feliceps	15
Galeichthys ater	10
Cryptarius truncatus	6
Ketengus typus	4
Bagre pinnimaculatus	2
Bagre aff.	2
Bagre bagre	40
Bagre panamensis	103
Sciades passany	10
Sciades couma	28
Sciades herzbergii	15
Sciades parkeri	16
Sciades proops	15
Sciades dowii	2
Ariopsis sp.	4
Sciades guatemalensis	2
Ariopsis seemanni	11
Potamarius usumacintae	2
Potamarius nelsoni	4
Potamarius izabalensis	2
Occidentarius platypogon	6
Cathorops dasycephalus	2
Cathorops aff.	2
Cathorops fuerthii	2
Cathorops wayuu	2
Cathorops spixii	50
Cathorops arenatus	2
